,afos_fid,afos_id,bjd_cd,spot_cd,sido_sgg_nm,spot_nm,occrrnc_cnt,caslt_cnt,dth_dnv_cnt,se_dnv_cnt,sl_dnv_cnt,wnd_dnv_cnt,geom_json,lo_crd,la_crd
0,6423519,01,1168010100,11680001,서울특별시 강남구1,서울특별시 강남구 역삼동(역삼역 부근),9,13,0,4,7,2,"{""type"":""Polygon"",""coordinates"":[[[127.03780003,37.50074789],[127.03778277,37.50060885],[127.03773165,37.50047516],[127.03764864,37.50035195],[127.03753692,37.50024395],[127.03740079,37.50015532],[127.03724548,37.50008946],[127.03707697,37.5000489],[127.03690171,37.50003521],[127.03672646,37.5000489],[127.03655794,37.50008946],[127.03640264,37.50015532],[127.03626651,37.50024395],[127.03615479,37.50035195],[127.03607178,37.50047516],[127.03602066,37.50060885],[127.0360034,37.50074789],[127.03602066,37.50088692],[127.03607178,37.50102061],[127.03615479,37.50114383],[127.03626651,37.50125182],[127.03640264,37.50134045],[127.03655794,37.50140631],[127.03672646,37.50144686],[127.03690171,37.50146056],[127.03707697,37.50144686],[127.03724548,37.50140631],[127.03740079,37.50134045],[127.03753692,37.50125182],[127.03764864,37.50114383],[127.03773165,37.50102061],[127.03778277,37.50088692],[127.03780003,37.50074789]]]}",127.036901714144,37.500747886806
1,6423685,01,1168010600,11680002,서울특별시 강남구2,서울특별시 강남구 대치동(학여울역 부근),8,12,0,1,11,0,"{""type"":""Polygon"",""coordinates"":[[[127.0715715,37.49668413],[127.07155424,37.49654508],[127.07150312,37.49641138],[127.07142011,37.49628816],[127.07130839,37.49618016],[127.07117226,37.49609152],[127.07101695,37.49602566],[127.07084844,37.4959851],[127.07067318,37.49597141],[127.07049793,37.4959851],[127.07032941,37.49602566],[127.07017411,37.49609152],[127.07003798,37.49618016],[127.06992626,37.49628816],[127.06984325,37.49641138],[127.06979213,37.49654508],[127.06977487,37.49668413],[127.06979213,37.49682317],[127.06984325,37.49695687],[127.06992626,37.49708009],[127.07003798,37.49718809],[127.07017411,37.49727672],[127.07032941,37.49734258],[127.07049793,37.49738314],[127.07067318,37.49739684],[127.07084844,37.49738314],[127.07101695,37.49734258],[127.07117226,37.49727672],[127.07130839,37.49718809],[127.07142011,37.49708009],[127.07150312,37.49695687],[127.07155424,37.49682317],[127.0715715,37.49668413]]]}",127.070673183322,37.496684126572
2,6423402,01,1168010100,11680003,서울특별시 강남구3,서울특별시 강남구 역삼동(교보타워사거리 부근),7,12,0,6,6,0,"{""type"":""Polygon"",""coordinates"":[[[127.02537731,37.5043941],[127.02536005,37.50425507],[127.02530893,37.50412138],[127.02522591,37.50399818],[127.0251142,37.50389019],[127.02497807,37.50380156],[127.02482276,37.5037357],[127.02465425,37.50369515],[127.02447899,37.50368146],[127.02430374,37.50369515],[127.02413522,37.5037357],[127.02397992,37.50380156],[127.02384379,37.50389019],[127.02373207,37.50399818],[127.02364906,37.50412138],[127.02359794,37.50425507],[127.02358068,37.5043941],[127.02359794,37.50453313],[127.02364906,37.50466682],[127.02373207,37.50479002],[127.02384379,37.50489801],[127.02397992,37.50498664],[127.02413522,37.50505249],[127.02430374,37.50509304],[127.02447899,37.50510674],[127.02465425,37.50509304],[127.02482276,37.50505249],[127.02497807,37.50498664],[127.0251142,37.50489801],[127.02522591,37.50479002],[127.02530893,37.50466682],[127.02536005,37.50453313],[127.02537731,37.5043941]]]}",127.024478992912,37.504394100808
3,6423999,01,1168010100,11680004,서울특별시 강남구4,서울특별시 강남구 역삼동(강남역 부근),7,12,0,4,7,1,"{""type"":""Polygon"",""coordinates"":[[[127.02814229,37.49798321],[127.02812503,37.49784417],[127.02807391,37.49771047],[127.0279909,37.49758725],[127.02787918,37.49747925],[127.02774306,37.49739062],[127.02758775,37.49732476],[127.02741923,37.4972842],[127.02724398,37.4972705],[127.02706873,37.4972842],[127.02690021,37.49732476],[127.0267449,37.49739062],[127.02660877,37.49747925],[127.02649706,37.49758725],[127.02641404,37.49771047],[127.02636292,37.49784417],[127.02634566,37.49798321],[127.02636292,37.49812225],[127.02641404,37.49825595],[127.02649706,37.49837916],[127.02660877,37.49848716],[127.0267449,37.4985758],[127.02690021,37.49864166],[127.02706873,37.49868221],[127.02724398,37.49869591],[127.02741923,37.49868221],[127.02758775,37.49864166],[127.02774306,37.4985758],[127.02787918,37.49848716],[127.0279909,37.49837916],[127.02807391,37.49825595],[127.02812503,37.49812225],[127.02814229,37.49798321]]]}",127.027243979227,37.497983208959
4,6423498,01,1168010500,11680005,서울특별시 강남구5,서울특별시 강남구 삼성동(코엑스 부근),7,8,0,2,5,1,"{""type"":""Polygon"",""coordinates"":[[[127.06116079,37.51452879],[127.06114353,37.51438978],[127.06109241,37.51425612],[127.06100939,37.51413293],[127.06089768,37.51402495],[127.06076155,37.51393633],[127.06060624,37.51387049],[127.06043773,37.51382994],[127.06026247,37.51381625],[127.06008722,37.51382994],[127.0599187,37.51387049],[127.0597634,37.51393633],[127.05962727,37.51402495],[127.05951555,37.51413293],[127.05943254,37.51425612],[127.05938142,37.51438978],[127.05936416,37.51452879],[127.05938142,37.5146678],[127.05943254,37.51480147],[127.05951555,37.51492466],[127.05962727,37.51503264],[127.0597634,37.51512125],[127.0599187,37.51518709],[127.06008722,37.51522764],[127.06026247,37.51524133],[127.06043773,37.51522764],[127.06060624,37.51518709],[127.06076155,37.51512125],[127.06089768,37.51503264],[127.06100939,37.51492466],[127.06109241,37.51480147],[127.06114353,37.5146678],[127.06116079,37.51452879]]]}",127.060262473036,37.514528793870
5,6423385,01,1168010500,11680006,서울특별시 강남구6,서울특별시 강남구 삼성동(강남구청역 부근),6,11,0,9,2,0,"{""type"":""Polygon"",""coordinates"":[[[127.04238299,37.51723357],[127.04236573,37.51709457],[127.04231461,37.5169609],[127.0422316,37.51683772],[127.04211988,37.51672974],[127.04198375,37.51664113],[127.04182845,37.51657529],[127.04165993,37.51653474],[127.04148468,37.51652105],[127.04130942,37.51653474],[127.04114091,37.51657529],[127.0409856,37.51664113],[127.04084947,37.51672974],[127.04073775,37.51683772],[127.04065474,37.5169609],[127.04060362,37.51709457],[127.04058636,37.51723357],[127.04060362,37.51737258],[127.04065474,37.51750624],[127.04073775,37.51762942],[127.04084947,37.51773739],[127.0409856,37.517826],[127.04114091,37.51789185],[127.04130942,37.51793239],[127.04148468,37.51794608],[127.04165993,37.51793239],[127.04182845,37.51789185],[127.04198375,37.517826],[127.04211988,37.51773739],[127.0422316,37.51762942],[127.04231461,37.51750624],[127.04236573,37.51737258],[127.04238299,37.51723357]]]}",127.041484676378,37.517233570574
6,6423441,01,1168010100,11680007,서울특별시 강남구7,서울특별시 강남구 역삼동(역삼세무서 부근),6,7,0,4,3,0,"{""type"":""Polygon"",""coordinates"":[[[127.04016068,37.49585372],[127.04014342,37.49571468],[127.0400923,37.49558098],[127.04000929,37.49545775],[127.03989757,37.49534975],[127.03976145,37.49526111],[127.03960614,37.49519525],[127.03943762,37.49515469],[127.03926237,37.495141],[127.03908712,37.49515469],[127.0389186,37.49519525],[127.03876329,37.49526111],[127.03862716,37.49534975],[127.03851545,37.49545775],[127.03843243,37.49558098],[127.03838131,37.49571468],[127.03836405,37.49585372],[127.03838131,37.49599277],[127.03843243,37.49612647],[127.03851545,37.49624969],[127.03862716,37.49635769],[127.03876329,37.49644633],[127.0389186,37.49651219],[127.03908712,37.49655275],[127.03926237,37.49656644],[127.03943762,37.49655275],[127.03960614,37.49651219],[127.03976145,37.49644633],[127.03989757,37.49635769],[127.04000929,37.49624969],[127.0400923,37.49612647],[127.04014342,37.49599277],[127.04016068,37.49585372]]]}",127.039262367965,37.495853722272
7,6424000,01,1168011500,11680008,서울특별시 강남구8,서울특별시 강남구 수서동(수서역 부근),6,12,0,3,9,0,"{""type"":""Polygon"",""coordinates"":[[[127.10280619,37.48749549],[127.10278893,37.48735643],[127.10273781,37.48722271],[127.1026548,37.48709948],[127.10254308,37.48699146],[127.10240695,37.48690282],[127.10225165,37.48683695],[127.10208313,37.48679638],[127.10190788,37.48678269],[127.10173262,37.48679638],[127.10156411,37.48683695],[127.1014088,37.48690282],[127.10127267,37.48699146],[127.10116095,37.48709948],[127.10107794,37.48722271],[127.10102682,37.48735643],[127.10100956,37.48749549],[127.10102682,37.48763455],[127.10107794,37.48776827],[127.10116095,37.4878915],[127.10127267,37.48799952],[127.1014088,37.48808816],[127.10156411,37.48815403],[127.10173262,37.48819459],[127.10190788,37.48820829],[127.10208313,37.48819459],[127.10225165,37.48815403],[127.10240695,37.48808816],[127.10254308,37.48799952],[127.1026548,37.4878915],[127.10273781,37.48776827],[127.10278893,37.48763455],[127.10280619,37.48749549]]]}",127.101907876348,37.487495491525
8,6424126,01,1168010100,11680009,서울특별시 강남구9,서울특별시 강남구 역삼동(경복아파트 부근),6,9,0,2,7,0,"{""type"":""Polygon"",""coordinates"":[[[127.03962528,37.50871515],[127.03960802,37.50857613],[127.0395569,37.50844245],[127.03947389,37.50831925],[127.03936217,37.50821126],[127.03922604,37.50812264],[127.03907074,37.50805679],[127.03890222,37.50801624],[127.03872697,37.50800255],[127.03855171,37.50801624],[127.0383832,37.50805679],[127.03822789,37.50812264],[127.03809176,37.50821126],[127.03798005,37.50831925],[127.03789703,37.50844245],[127.03784591,37.50857613],[127.03782865,37.50871515],[127.03784591,37.50885417],[127.03789703,37.50898785],[127.03798005,37.50911105],[127.03809176,37.50921903],[127.03822789,37.50930765],[127.0383832,37.5093735],[127.03855171,37.50941405],[127.03872697,37.50942774],[127.03890222,37.50941405],[127.03907074,37.5093735],[127.03922604,37.50930765],[127.03936217,37.50921903],[127.03947389,37.50911105],[127.0395569,37.50898785],[127.03960802,37.50885417],[127.03962528,37.50871515]]]}",127.038726967377,37.508715148087
9,6424335,02,1168011800,11680001,서울특별시 강남구1,서울특별시 강남구 도곡동(옥신타워 부근),5,6,0,3,3,0,"{""type"":""Polygon"",""coordinates"":[[[127.03687945,37.49028847],[127.03682767,37.48987131],[127.03667431,37.48947017],[127.03642527,37.48910048],[127.03609012,37.48877644],[127.03568174,37.4885105],[127.03521582,37.4883129],[127.03471027,37.48819121],[127.03418451,37.48815012],[127.03365875,37.48819121],[127.0331532,37.4883129],[127.03268728,37.4885105],[127.03227889,37.48877644],[127.03194374,37.48910048],[127.0316947,37.48947017],[127.03154134,37.48987131],[127.03148956,37.49028847],[127.03154134,37.49070564],[127.0316947,37.49110677],[127.03194374,37.49147645],[127.03227889,37.49180048],[127.03268728,37.4920664],[127.0331532,37.492264],[127.03365875,37.49238568],[127.03418451,37.49242677],[127.03471027,37.49238568],[127.03521582,37.492264],[127.03568174,37.4920664],[127.03609012,37.49180048],[127.03642527,37.49147645],[127.03667431,37.49110677],[127.03682767,37.49070564],[127.03687945,37.49028847]]]}",127.034184507910,37.490288473735
